taxon,species_aggregated,genus,family,flowering_start,flowering_end,flowering_times,flowers_m2,nectar_ml,sugar_concentration_mol,sugar_concentration_perc,nectar_sugar_content_mg,pollen_mg,corolla_mm,protein,sugar_perc,time_to_dry_proxy_raw,time_to_dry_days,gmm_confidence,gmm_label
Acer pseudoplatanus,Acer pseudoplatanus,Acer,Sapindaceae,91.0,181.0,90.0,4555.68,0.000109646228225,1.90344726847794,41.5,0.427146666666667,,4.0,30.5,1.90344726847794,2.7933321520451158e-05,0.3132401135771303,1.0,1
Achillea spec,"Achillea millefolium, Achillea millefolium agg, Achillea spp",Achillea,Asteraceae,152.0,243.0,91.0,25041.3410714286,6.92649661328447e-05,1.375,40.25,0.0326004221225,0.17449896045336,3.425,18.91633889375,1.375,2.0501418748075073e-05,0.22989986108303037,1.0,1
Aesculus hippocastanum,Aesculus hippocastanum,Aesculus,Sapindaceae,121.0,181.0,60.0,3035.23,0.0005399351039538,2.8322378030967,61.75,0.44928,,4.5,33.146,2.8322378030967,0.00012338385529918453,1.3836082049606733,1.0,1
Ajuga spec,"Ajuga, Ajuga reptans, Ajuga spp",Ajuga,Lamiaceae,121.0,232.0,111.0,4779.2543229165,0.000809667,0.824737635,53.0,0.191817611215708,0.65,10.0,7.2103857,0.824737635,8.163446276508307e-05,0.9154367256189313,1.0,1
Allium cepa,"Allium cepa, Allium cepa x fistulosum",Allium,Amaryllidaceae,152.0,212.0,60.0,104.247473087353,0.193773885350319,2.70954572012854,59.075,116.4269075,,4.0,25.0179055883978,2.70954572012854,0.049756069217498665,7.0,1.0,0
Allium schoenoprasum,"Allium schoenoprasum, Allium sp",Allium,Amaryllidaceae,152.0,212.0,60.0,576.0,0.0138786456587328,2.54236342389717,55.43,8.20456,,11.0,25.0179055883978,2.54236342389717,0.0012937719324322722,7.0,0.9995465096913144,1
Allium ursinum,Allium ursinum,Allium,Amaryllidaceae,121.0,151.0,30.0,,0.5,,,,53.276,4.0,25.0179055883978,1.375,0.12671874968320312,7.0,1.0,0
Althaea officinalis,Althaea officinalis,Althaea,Malvaceae,182.0,273.0,91.0,,0.0038216560509554,2.01811276657902,44.0,2.64,,4.0,37.1,2.01811276657902,0.0009746953424668793,7.0,0.9999953353745591,1
Anchusa officinalis,Anchusa officinalis,Anchusa,Boraginaceae,121.0,243.0,122.0,22456.0,0.0014094141363342,2.52264095822378,55.0,1.16,,4.0,30.2597411333333,2.52264095822378,0.00036124214774898526,4.050915724680028,1.0,1
Anemone spec,"Anemone, Anemone apennia, Anemone blanda, Anemone nemorosa, Anemone tomentosum",Anemone,Ranunculaceae,60.0,151.0,91.0,35.02,1.67848511406794e-06,1.375,40.14,0.00079,3.1,10.39,15.03,1.375,1.637694208612781e-07,0.05,1.0,1
Angelica sylvestris,Angelica sylvestris,Angelica,Apiaceae,182.0,273.0,91.0,752.184393063584,0.0002519112929471,3.14183464796962,68.5,0.270918,,0.0,25.0179055883978,3.14183464796962,25982.592923106025,7.0,0.9957974713167017,1
Anthemis spec,"Anthemis, Anthemis arvensis, Anthemis tinctoria",Anthemis,Asteraceae,136.0,288.0,152.0,,0.5,,41.5,,,3.0,18.91633889375,1.375,0.16895833277013889,7.0,1.0,0
Anthriscus sylvestris,Anthriscus sylvestris,Anthriscus,Apiaceae,121.0,243.0,122.0,3124.51904761905,0.0001390665480161,1.99930762489045,43.59,0.095172,,2.475,25.0179055883978,1.99930762489045,5.731188506712686e-05,0.6426869563149719,1.0,1
Arctium spec,"Arctium agg, Arctium lappa, Arctium tomentosum",Arctium,Asteraceae,196.0,258.0,62.0,28.597849923889,0.06001758,0.886486837,,10.0467742058184,0.43,3.9,14.50449585,0.886486837,0.015525545587520636,7.0,0.999961247259419,1
Bellis perennis,Bellis perennis,Bellis,Asteraceae,1.0,365.0,364.0,303.703578947368,0.0001235802173036,1.375,,0.0581645740266667,0.166767526113049,4.0,18.91633889375,1.375,3.131986124458147e-05,0.351216266432543,1.0,1
Berberis spec,"Berberis darwinii, Berberis spp",Berberis,Berberidaceae,,,,,0.5,,35.85,,,5.5,25.0179055883978,1.375,0.09215909074152892,7.0,1.0,0
Berteroa spec,"Berteroa incana, Berteroa inonana",Berteroa,Brassicaceae,152.0,304.0,152.0,,0.5,,70.33,,,0.65,24.4562121181818,1.375,0.779807680310651,7.0,1.0,0
Beta vulgaris,Beta vulgaris,Beta,Brassicaceae,182.0,273.0,91.0,,0.5,,,,,4.0,24.4562121181818,1.375,0.12671874968320312,7.0,1.0,0
Betonica officinalis,Betonica officinalis,Betonica,Lamiaceae,182.0,243.0,61.0,,0.5,,,,,4.0,18.7046642833333,1.375,0.12671874968320312,7.0,1.0,0
